review_id	review_text	aspect_term	polarity
2339	i charge it at night and skip taking the cord with me because of the good battery life . 	cord	2
2339	i charge it at night and skip taking the cord with me because of the good battery life . 	battery life	0
1316	the tech guy then said the service center does not do 1 - to - 1 exchange and i have to direct my concern to the  " sales "  team ,  which is the retail shop which i bought my netbook from . 	service center	1
1316	the tech guy then said the service center does not do 1 - to - 1 exchange and i have to direct my concern to the  " sales "  team ,  which is the retail shop which i bought my netbook from . 	 " sales " team	1
1316	the tech guy then said the service center does not do 1 - to - 1 exchange and i have to direct my concern to the  " sales "  team ,  which is the retail shop which i bought my netbook from . 	tech guy	2
2005	it is of high quality ,  has a killer gui ,  is extremely stable ,  is highly expandable ,  is bundled with lots of very good applications ,  is easy to use ,  and is absolutely gorgeous . 	quality	0
2005	it is of high quality ,  has a killer gui ,  is extremely stable ,  is highly expandable ,  is bundled with lots of very good applications ,  is easy to use ,  and is absolutely gorgeous . 	gui	0
2005	it is of high quality ,  has a killer gui ,  is extremely stable ,  is highly expandable ,  is bundled with lots of very good applications ,  is easy to use ,  and is absolutely gorgeous . 	applications	0
2005	it is of high quality ,  has a killer gui ,  is extremely stable ,  is highly expandable ,  is bundled with lots of very good applications ,  is easy to use ,  and is absolutely gorgeous . 	use	0
2789	easy to start up and does not overheat as much as other laptops . 	start up	0
76	i even got my teenage son one ,  because of the features that it offers ,  like ,  ichat ,  photobooth ,  garage band and more ! 	features	0
76	i even got my teenage son one ,  because of the features that it offers ,  like ,  ichat ,  photobooth ,  garage band and more ! 	ichat	0
76	i even got my teenage son one ,  because of the features that it offers ,  like ,  ichat ,  photobooth ,  garage band and more ! 	photobooth	0
76	i even got my teenage son one ,  because of the features that it offers ,  like ,  ichat ,  photobooth ,  garage band and more ! 	garage band	0
80	great laptop that offers many great features ! 	features	0
917	one night i turned the freaking thing off after using it ,  the next day i turn it on ,  no gui ,  screen all dark ,  power light steady ,  hard drive light steady and not flashing as it usually does . 	gui	1
917	one night i turned the freaking thing off after using it ,  the next day i turn it on ,  no gui ,  screen all dark ,  power light steady ,  hard drive light steady and not flashing as it usually does . 	screen	1
917	one night i turned the freaking thing off after using it ,  the next day i turn it on ,  no gui ,  screen all dark ,  power light steady ,  hard drive light steady and not flashing as it usually does . 	power light	2
917	one night i turned the freaking thing off after using it ,  the next day i turn it on ,  no gui ,  screen all dark ,  power light steady ,  hard drive light steady and not flashing as it usually does . 	hard drive ligh	1
338	my only disappointment with the 13 "  model is that they 're  the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards ,  however the trade - off is that you achieve a longer battery life  ( of about 2 more hours )  . 	processor	1
338	my only disappointment with the 13 "  model is that they 're  the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards ,  however the trade - off is that you achieve a longer battery life  ( of about 2 more hours )  . 	graphics cards	1
338	my only disappointment with the 13 "  model is that they 're  the only ones in the macbook pro line up without an i5 or i7 processor and dual graphics cards ,  however the trade - off is that you achieve a longer battery life  ( of about 2 more hours )  . 	battery life	0
1630	i took it back for an asus and same thing -  blue screen which required me to remove the battery to reset . 	battery	2
38	in the shop ,  these macbooks are encased in a soft rubber enclosure  -  so you will never know about the razor edge until you buy it ,  get it home ,  break the seal and use it  ( very clever con )  . 	rubber enclosure	0
38	in the shop ,  these macbooks are encased in a soft rubber enclosure  -  so you will never know about the razor edge until you buy it ,  get it home ,  break the seal and use it  ( very clever con )  . 	edge	1
337	however ,  the multi - touch gestures and large tracking area make having an external mouse unnecessary  ( unless you 're  gaming )  . 	multi - touch gestures	0
337	however ,  the multi - touch gestures and large tracking area make having an external mouse unnecessary  ( unless you 're  gaming )  . 	tracking area	0
337	however ,  the multi - touch gestures and large tracking area make having an external mouse unnecessary  ( unless you 're  gaming )  . 	external mouse	2
337	however ,  the multi - touch gestures and large tracking area make having an external mouse unnecessary  ( unless you 're  gaming )  . 	gaming	2
2568	i love the way the entire suite of software works together . 	suite of software	0
295	the speed is incredible and i am more than satisfied . 	speed	0
2759	this laptop meets every expectation and windows 7 is great ! 	windows 7	0
2980	i can barely use any usb devices because they will not stay connected properly . 	usb devices	1
743	when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed . 	software	2
743	when i finally had everything running with all my software installed i plugged in my droid to recharge and the system crashed . 	system	1
2587	one suggestion i do have ,  is to not bother getting microsoft office for the mac expecting it will work just like you knew it to on a pc . 	microsoft office for the mac	1
2202	pairing it with an iphone is a pure pleasure  -  talk about painless syncing  -  used to take me forever  -  now it 's  a snap . 	syncing	0
2227	i also got the added bonus of a 30 "  hd monitor ,  which really helps to extend my screen and keep my eyes fresh ! 	30 " hd monitor	0
2227	i also got the added bonus of a 30 "  hd monitor ,  which really helps to extend my screen and keep my eyes fresh ! 	screen	2
92	the machine is slow to boot up and occasionally crashes completely . 	boot up	1
1204	after paying several hundred dollars for this service ,  it is frustrating that you cannot get help after hours . 	service	1
1574	i love the operating system and the preloaded software . 	operating system	0
1574	i love the operating system and the preloaded software . 	preloaded software	0
3073	the best thing about this laptop is the price along with some of the newer features . 	price	0
3073	the best thing about this laptop is the price along with some of the newer features . 	features	0
1254	after numerous attempts of trying  ( including setting the clock in bios setup directly )  ,  i gave up ( i am a techie )  . 	clock in bios setup	1
810	you will not be able to talk to an american warranty service is out of country . 	warranty service	1
130	but now i have realized its a problem with this brand . 	brand	1
839	i sent it back to toshiba twice they covered it under the  warranty . 	warranty	0
696	i was looking for a mac which is portable and has all the features that i was looking for . 	features	0
1030	also kinda loud when the fan was running . 	fan	1
1425	in desparation ,  i called their customer service number and was told that my warranty had expired  ( 2 days old )  and that the priviledge of talking to a technician would cost me  (  " have your credit card ready "  )  . 	customer service number	2
1425	in desparation ,  i called their customer service number and was told that my warranty had expired  ( 2 days old )  and that the priviledge of talking to a technician would cost me  (  " have your credit card ready "  )  . 	warranty	1
1425	in desparation ,  i called their customer service number and was told that my warranty had expired  ( 2 days old )  and that the priviledge of talking to a technician would cost me  (  " have your credit card ready "  )  . 	talking to a technician	1
661	there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files . 	hard disc	1
661	there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files . 	windows	1
661	there also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files . 	drivers	2
997	drivers updated ok but the bios update froze the system up and the computer shut down . 	drivers	0
997	drivers updated ok but the bios update froze the system up and the computer shut down . 	bios update	1
997	drivers updated ok but the bios update froze the system up and the computer shut down . 	system	1
463	spent 2 hours on phone with hp technical support . 	hp technical support	2
1193	speaking of the browser ,  it too has problems . 	browser	1
147	the keyboard is too slick . 	keyboard	1
1433	nightly my computer defrags itself and runs a virus scan . 	virus scan	2
1669	it 's  like 9 punds ,  but if you can look past it ,  it 's  great ! 	9 punds	1
2462	it 's  just as fast with one program open as it is with sixteen open . 	program	2
2719	still under warrenty so called toshiba ,  no help at all . 	warrenty	1
1224	i was happy with my purchase of a toshiba satellite l305d - s5934 laptop until it came time to have it repaired under the toshiba warranty . 	toshiba warranty	1
2492	amazing quality ! 	quality	0
1541	the fact that you can spend over $100 on just a webcam underscores the value of this machine . 	webcam	2
1541	the fact that you can spend over $100 on just a webcam underscores the value of this machine . 	value	0
3060	i mainly use it for email ,  internet ,  and managing personal files  ( pics ,  vids ,  etc .  )  . 	internet	2
3060	i mainly use it for email ,  internet ,  and managing personal files  ( pics ,  vids ,  etc .  )  . 	managing personal files	2
915	a month or so ago ,  the freaking motherboard just died . 	motherboard	1
2050	the system it comes with does not work properly ,  so when trying to fix the problems with it it started not working at all . 	system	1
460	then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running . 	charger	1
460	then after 4 or so months the charger stopped working so i was forced to go out and buy new hardware just to keep this computer running . 	hardware	1
1524	if a website ever freezes  ( which is rare )  ,  its really easy to force quit . 	force quit	0
803	it rarely works and when it does it 's  incredibly slow . 	works	1
2225	i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program . 	windows 7	0
2225	i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program . 	vmware program	2
2644	it 's  so much easier to navigate through the operating system ,  to find files ,  and it runs a lot faster ! 	operating system	0
2644	it 's  so much easier to navigate through the operating system ,  to find files ,  and it runs a lot faster ! 	runs	0
2644	it 's  so much easier to navigate through the operating system ,  to find files ,  and it runs a lot faster ! 	navigate	0
